,State_x,Pathway,LTCH Low ,LTCH High ,Variable (Low),Variable (High),Variable (base),Result (base),Variable Name,Variable Unit,TotalCostforSorting
0,Wisconsin,SMR,5.102811946889817,6.796973796600801,2.669,13.391,6.572,5.719566332854731,Natural Gas Price,$/MMBTU,1.6941618497109836
1,Wyoming,SMR,5.536243270183475,5.544303270183475,0.029,0.091,0.058,5.540001082683475,Electricity Price,$/kWh,0.00806
2,Wyoming,SMR,5.510980749350142,5.616684749350142,0.006,0.03,0.013,5.540001082683475,Water Price (Hydrogen),$/gal,0.10570400000000024
0,Wyoming,SMR,5.169854596190092,6.6585251164213055,3.102,12.524,5.445,5.540001082683475,Natural Gas Price,$/MMBTU,1.4886705202312136
1,Alabama,SMRCC,6.631460558762246,6.723110558762246,0.035,0.096,0.058,6.665811545604352,Electricity Price,$/kWh,0.09165
2,Alabama,SMRCC,6.611498628937685,6.809328628937685,0.006,0.03,0.013,6.665811545604352,Water Price (Hydrogen),$/gal,0.19782999999999973
0,Alabama,SMRCC,6.172303027198511,8.040048691938393,2.765,13.882,5.702,6.665811545604352,Natural Gas Price,$/MMBTU,1.867745664739883
1,Arizona,SMRCC,6.796580120672804,6.868730120672803,0.046,0.094,0.064,6.823547061462277,Electricity Price,$/kWh,0.07215
2,Arizona,SMRCC,6.769234145,6.967064144795609,0.006,0.03,0.013,6.823547061462277,Water Price (Hydrogen),$/gal,0.19782999999999884
0,Arizona,SMRCC,6.1490490389493475,7.7545981718973245,2.572,12.129,6.587,6.823547061462277,Natural Gas Price,$/MMBTU,1.605549132947976
1,Arkansas,SMRCC,6.914705173912841,6.996005173912838,0.034,0.089,0.057,6.948435930491788,Electricity Price,$/kWh,0.0813
2,Arkansas,SMRCC,6.894123014,7.091953013825121,0.006,0.03,0.013,6.948435930491788,Water Price (Hydrogen),$/gal,0.19783000000000062
0,Arkansas,SMRCC,6.5247836639873755,7.707905051270613,4.875,11.917,7.396,6.948435930491788,Natural Gas Price,$/MMBTU,1.1831213872832382
2,California,SMRCC,7.119228369770283,7.317058369770283,0.006,0.03,0.013,7.173541286436951,Water Price (Hydrogen),$/gal,0.19782999999999973
1,California,SMRCC,7.072134871963266,7.368834871963266,0.058,0.255,0.125,7.173541286436951,Electricity Price,$/kWh,0.2966999999999995
0,California,SMRCC,6.343722328,9.577479553095987,3.189,22.437,8.128,7.173541286436951,Natural Gas Price,$/MMBTU,3.2337572254335267
1,Colorado,SMRCC,6.837192563629907,6.930492563629908,0.036,0.098,0.069,6.887881214945696,Electricity Price,$/kWh,0.0933
2,Colorado,SMRCC,6.8335682982790305,7.031398298279031,0.006,0.03,0.013,6.887881214945696,Water Price (Hydrogen),$/gal,0.19783000000000062
0,Colorado,SMRCC,6.216455142539247,8.354489824620174,2.929,15.655,6.925,6.887881214945696,Natural Gas Price,$/MMBTU,2.138034682080927
2,Connecticut,SMRCC,7.0853450865738274,7.283175086573829,0.006,0.03,0.013,7.139658003240493,Water Price (Hydrogen),$/gal,0.1978300000000015
1,Connecticut,SMRCC,7.051000108503652,7.271200108503653,0.068,0.215,0.128,7.139658003240493,Electricity Price,$/kWh,0.22020000000000017
0,Connecticut,SMRCC,6.318190859948738,8.673104154746426,3.015,17.033,7.905,7.139658003240493,Natural Gas Price,$/MMBTU,2.3549132947976883
1,Delaware,SMRCC,7.456699286583918,7.620799286583919,0.029,0.138,0.079,7.532276589215497,Electricity Price,$/kWh,0.16410000000000124
2,Delaware,SMRCC,7.477963672548832,7.675793672548831,0.006,0.03,0.013,7.532276589215497,Water Price (Hydrogen),$/gal,0.19782999999999973
0,Delaware,SMRCC,6.169640903681627,9.871143793855035,2.563,24.595,10.674,7.532276589215497,Natural Gas Price,$/MMBTU,3.7015028901734084
1,Florida,SMRCC,6.928590290174574,7.008390290174574,0.049,0.103,0.077,6.969893086227206,Electricity Price,$/kWh,0.0798
2,Florida,SMRCC,6.915580169560538,7.113410169560538,0.006,0.03,0.013,6.969893086227206,Water Price (Hydrogen),$/gal,0.19782999999999973
0,Florida,SMRCC,6.389618998258747,8.012971599414817,3.892,13.555,7.346,6.969893086227206,Natural Gas Price,$/MMBTU,1.6233526011560695
1,Georgia,SMRCC,6.684602222893673,6.817802222893674,0.036,0.124,0.06,6.721067518946306,Electricity Price,$/kWh,0.13320000000000043
2,Georgia,SMRCC,6.666754602279639,6.864584602279639,0.006,0.03,0.013,6.721067518946306,Water Price (Hydrogen),$/gal,0.19783000000000062
0,Georgia,SMRCC,6.171630342189384,8.102497394212506,2.746,14.239,6.016,6.721067518946306,Natural Gas Price,$/MMBTU,1.930867052023121
1,Idaho,SMRCC,6.652761806100244,6.755661806100244,0.031,0.099,0.054,6.688189437679192,Electricity Price,$/kWh,0.10289999999999999
2,Idaho,SMRCC,6.6338765210125255,6.831706521012525,0.006,0.03,0.013,6.688189437679192,Water Price (Hydrogen),$/gal,0.19782999999999973
0,Idaho,SMRCC,6.265207995634775,7.407866955172348,3.353,10.154,5.87,6.688189437679192,Natural Gas Price,$/MMBTU,1.142658959537573
1,Illinois,SMRCC,6.866607288302862,6.970107288302861,0.039,0.108,0.066,6.906980479092335,Electricity Price,$/kWh,0.10349999999999948
2,Illinois,SMRCC,6.852667562425668,7.050497562425669,0.006,0.03,0.013,6.906980479092335,Water Price (Hydrogen),$/gal,0.19783000000000062
0,Illinois,SMRCC,6.1384073120707345,8.303956445018711,2.495,15.385,7.07,6.906980479092335,Natural Gas Price,$/MMBTU,2.1655491329479766
1,Indiana,SMRCC,6.841658312709335,6.933008312709335,0.038,0.099,0.064,6.8799581482356515,Electricity Price,$/kWh,0.09135
2,Indiana,SMRCC,6.825645231568985,7.023475231568984,0.006,0.03,0.013,6.8799581482356515,Water Price (Hydrogen),$/gal,0.19782999999999884
0,Indiana,SMRCC,6.256371240044571,8.145157367212201,3.218,14.461,6.93,6.8799581482356515,Natural Gas Price,$/MMBTU,1.8887861271676307
1,Iowa,SMRCC,6.716491663393853,6.7994416633938535,0.036,0.092,0.056,6.746117156814906,Electricity Price,$/kWh,0.08295
2,Iowa,SMRCC,6.69180424,6.88963424,0.006,0.03,0.013,6.746117156814906,Water Price (Hydrogen),$/gal,0.19782999999999973
0,Iowa,SMRCC,6.238672909500002,7.714742273661851,3.179,11.965,6.2,6.746117156814906,Natural Gas Price,$/MMBTU,1.4760693641618499
1,Kansas,SMRCC,6.648665339020546,6.723515339020546,0.041,0.091,0.066,6.686144615336336,Electricity Price,$/kWh,0.07485
2,Kansas,SMRCC,6.631831698669669,6.829661698669669,0.006,0.03,0.013,6.686144615336336,Water Price (Hydrogen),$/gal,0.19783000000000062
0,Kansas,SMRCC,6.174120334013235,7.800709929388958,2.707,12.389,5.755,6.686144615336336,Natural Gas Price,$/MMBTU,1.6265895953757221
1,Kentucky,SMRCC,6.596881285,6.6843312847004706,0.027,0.085,0.052,6.633994936,Electricity Price,$/kWh,0.08745
2,Kentucky,SMRCC,6.579682019349593,6.777512019349594,0.006,0.03,0.013,6.633994936,Water Price (Hydrogen),$/gal,0.19783000000000062
0,Kentucky,SMRCC,6.135101240805143,8.020650374,2.601,13.825,5.571,6.633994936,Natural Gas Price,$/MMBTU,1.8855491329479772
1,Louisiana,SMRCC,6.465985003544722,6.555385003544723,0.037,0.097,0.059,6.498208852228933,Electricity Price,$/kWh,0.0894
2,Louisiana,SMRCC,6.443895935562267,6.641725935562266,0.006,0.03,0.013,6.498208852228933,Water Price (Hydrogen),$/gal,0.19782999999999884
0,Louisiana,SMRCC,6.028679646266051,8.089026467,1.908,14.171,4.702,6.498208852228933,Natural Gas Price,$/MMBTU,2.060346820809249
2,Maine,SMRCC,7.310885073975751,7.5087150739757496,0.006,0.03,0.013,7.365197990642416,Water Price (Hydrogen),$/gal,0.19782999999999884
